no_spm;sum(jumlah_debet)
00004/LPM/SPM-LSK/OKT/2017;64555000
00004/LPM/SPM-TUP-NIHIL/OKT/2017;340600000
00004/LPM/SPM-TUP/NOV/2017;4386000000
00004/MWA/SPM-GUP/MEI/2017;86869800
00004/MWA/SPM-LS PGW/JUN/2017;110000000
00004/MWA/SPM-LSNK/DES/2017;10000000
00004/PTN/SPM-GUP/JUL/2017;32698250
00004/PTN/SPM-LS PGW/APR/2017;10766192
00004/PTN/SPM-LSNK/AGU/2017;45517500
00004/PTN/SPM-TUP/DES/2017;22651516534
00004/RSN/SPM-GUP/MAR/2017;665138856
00004/RSN/SPM-LS PGW/FEB/2017;112516844
00004/RSN/SPM-LSK/OKT/2017;257395000
00004/RSN/SPM-LSNK/AGU/2017;355267620
00004/SPI/SPM-GUP/JUN/2017;5988080
00004/SPS/SPM-GUP/MAR/2017;185424428
00004/SPS/SPM-LS PGW/MAR/2017;38800479
00004/SPS/SPM-LSNK/DES/2017;6776210
00004/SVO/SPM-GUP/APR/2017;319417132
00004/SVO/SPM-LS PGW/MAR/2017;4806000
00004/SVO/SPM-LSK/SEP/2017;14690000
00004/SVO/SPM-LSNK/NOV/2017;27600000
00004/W11/SPM-GUP/JUN/2017;216293320
00004/W11/SPM-LSK/SEP/2017;53817000
00004/W11/SPM-TUP-NIHIL/DES/2017;602000000
00004/W11/SPM-TUP/DES/2017;602000000
00004/W12/SPM-GUP/MEI/2017;149137108
00004/W12/SPM-LSK/SEP/2017;199884780
00004/W12/SPM-LSNK/SEP/2017;35178000
00004/W12/SPM-TUP-NIHIL/DES/2017;1022542862
00004/W12/SPM-TUP/DES/2017;1022542862
00004/W14/SPM-GUP/DES/2017;15000000
00004/W21/SPM-GUP/MEI/2017;38630600
00004/W21/SPM-LSNK/OKT/2017;6053547
00004/W23/SPM-GUP/MAR/2017;295152200
00004/W23/SPM-LS PGW/FEB/2017;1121982065
00004/W23/SPM-LSK/AGU/2017;1380829000
00004/W23/SPM-LSNK/AGU/2017;102708383
00004/W23/SPM-TUP-NIHIL/NOV/2017;8000000000
00004/W23/SPM-TUP/OKT/2017;8000000000
00004/W24/SPM-GUP/MEI/2017;28952400
00004/W24/SPM-LSNK/OKT/2017;33000000
00004/W32/SPM-GUP/JUN/2017;22911000
00004/W32/SPM-LSNK/OKT/2017;8295000
00004/W34/SPM-GUP/APR/2017;12816000
00004/W34/SPM-LSNK/OKT/2017;5875000
00004/W44/SPM-GUP/APR/2017;123780700
00004/W44/SPM-LSK/DES/2017;31880200
00004/W44/SPM-LSNK/SEP/2017;20800000
00005/BPS/SPM-GUP/JUN/2017;141245400
00005/BPS/SPM-LSNK/OKT/2017;17260000
00005/FEB/SPM-GUP/APR/2017;540536408
00005/FEB/SPM-LS PGW/MEI/2017;8010000
00005/FEB/SPM-LSK/AGU/2017;9843822
00005/FEB/SPM-LSNK/NOV/2017;612000000
00005/FHU/SPM-GUP/MAR/2017;470037872
00005/FHU/SPM-LS PGW/MAR/2017;61197902
00005/FHU/SPM-LSK/AGU/2017;265232500
00005/FHU/SPM-LSNK/OKT/2017;194000000
00005/FIB/SPM-LS PGW/MAR/2017;35608908
00005/FIB/SPM-LSK/OKT/2017;49760000
00005/FIS/SPM-GUP/MEI/2017;280413608
00005/FIS/SPM-LS PGW/MAR/2017;6408000
00005/FIS/SPM-LSK/SEP/2017;50954750
00005/FIS/SPM-LSNK/OKT/2017;57138000
00005/FKE/SPM-GUP/MEI/2017;599832124
00005/FKE/SPM-LS PGW/MAR/2017;8544000
00005/FKE/SPM-LSK/OKT/2017;89331000
00005/FKE/SPM-LSNK/SEP/2017;20207150
00005/FKE/SPM-TUP-NIHIL/DES/2017;2118784020
00005/FKE/SPM-TUP/DES/2017;6697173695
00005/FKM/SPM-GUP/MAR/2017;370360674
00005/FKM/SPM-LS PGW/MAR/2017;37721521
00005/FKM/SPM-LSK/OKT/2017;190628900
00005/FKM/SPM-LSNK/OKT/2017;69475000
00005/FPK/SPM-GUP/APR/2017;186618758
00005/FPK/SPM-LS PGW/MAR/2017;35854158
00005/FPK/SPM-LSK/OKT/2017;138446638
00005/FPK/SPM-LSNK/NOV/2017;28200000
00005/FPP/SPM-GUP/APR/2017;225646400
00005/FPP/SPM-LS PGW/MEI/2017;30301128
00005/FPP/SPM-LSK/OKT/2017;198206100
00005/FPP/SPM-LSNK/OKT/2017;28580000
00005/FPS/SPM-GUP/MAR/2017;105661500
00005/FPS/SPM-LS PGW/MEI/2017;14382901
00005/FPS/SPM-LSK/DES/2017;42322500
00005/FPS/SPM-LSNK/SEP/2017;11340000
00005/FSM/SPM-GUP/MAR/2017;103440116
00005/FSM/SPM-LS PGW/MEI/2017;43913613
